VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,"12/1/2020, 7:19:50 AM","12/1/2020, 7:24:56 AM",1,1,1,N,148,114,1,6,3,0.5,2.45,0,0.3,12.25,2.5,-
1,"12/1/2020, 7:03:43 AM","12/1/2020, 7:35:43 AM",1,8.4,1,N,68,62,1,27.5,3,0.5,7.8,0,0.3,39.1,2.5,-
2,"12/1/2020, 6:37:58 AM","12/1/2020, 7:08:54 AM",1,18.39,2,N,132,68,1,52,0,0.5,0,6.12,0.3,61.42,2.5,-
2,"12/1/2020, 6:29:20 AM","12/1/2020, 6:32:39 AM",2,0.9,1,N,249,68,2,5,0.5,0.5,0,0,0.3,8.8,2.5,-
2,"12/1/2020, 6:51:55 AM","12/1/2020, 6:58:33 AM",1,0.71,1,N,79,148,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5,-
1,"12/1/2020, 7:12:57 AM","12/1/2020, 7:20:42 AM",1,1.8,1,N,162,140,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5,-
2,"12/1/2020, 6:45:42 AM","12/1/2020, 6:46:05 AM",1,0.02,2,N,152,152,1,52,0,0.5,11.78,6.12,0.3,70.7,0,-
2,"12/1/2020, 6:37:22 AM","12/1/2020, 6:37:38 AM",1,0,5,N,236,236,1,10,0,0.5,3.32,0,0.3,16.62,2.5,-
2,"12/1/2020, 7:14:22 AM","12/1/2020, 7:33:14 AM",4,6.84,1,N,186,82,1,21.5,0.5,0.5,0,0,0.3,25.3,2.5,-
2,"12/1/2020, 6:54:54 AM","12/1/2020, 7:14:40 AM",1,7.22,1,N,229,129,2,22.5,0.5,0.5,0,0,0.3,26.3,2.5,-
2,"12/1/2020, 7:29:11 AM","12/1/2020, 7:34:12 AM",1,0.08,5,N,173,173,2,50,0,0,0,0,0.3,50.3,0,-
2,"12/1/2020, 6:35:41 AM","12/1/2020, 6:54:50 AM",1,5.55,1,N,140,152,2,19.5,0.5,0.5,0,0,0.3,23.3,2.5,-
2,"12/1/2020, 7:24:40 AM","12/1/2020, 7:24:55 AM",1,8.3,5,N,68,68,1,35,0,0.5,6,0,0.3,44.3,2.5,-
2,"12/1/2020, 6:47:47 AM","12/1/2020, 7:21:38 AM",2,23.11,1,N,132,14,2,61,0.5,0.5,0,0,0.3,62.3,0,-
1,"12/1/2020, 6:33:56 AM","12/1/2020, 6:38:49 AM",1,1.6,1,N,237,75,1,7,3,0.5,2.15,0,0.3,12.95,2.5,-
1,"12/1/2020, 6:42:32 AM","12/1/2020, 6:49:45 AM",1,2,1,N,75,42,2,8.5,0.5,0.5,0,0,0.3,9.8,0,-
1,"12/1/2020, 6:57:53 AM","12/1/2020, 7:04:53 AM",1,0.4,1,N,41,41,1,6.5,0.5,0.5,0,0,0.3,7.8,0,-
1,"12/1/2020, 7:10:53 AM","12/1/2020, 7:16:48 AM",1,0.4,1,N,42,42,3,5.5,0.5,0.5,0,0,0.3,6.8,0,-
1,"12/1/2020, 7:06:30 AM","12/1/2020, 7:18:13 AM",1,5,1,N,48,166,2,16.5,3,0.5,0,0,0.3,20.3,2.5,-
